Date,Amount,Reference_Description,Other_Reference, Recon,Levy,Fisical,Type,Import_date
04/07/2025,-367.06,21058202505PF - FNB APP PAYMENT FROM FNB     (367.06),CB252025000000774660,no,,,,
09/07/2025,-20,ABSA BANK 13148202506PF - MAGTAPE CREDIT USER 9524 SEQ 023996,CB252025000000774953,no,,,,
19/07/2025,-22393.9,ABSA BANK 14764201509PI - MAGTAPE CREDIT USER 9524 SEQ 006699,CB252025000000775792,no,,,,
21/07/2025,-1280.64,07403202505PI - MAGTAPE CREDIT USER 9663 SEQ 318020,CB252025000000775838,no,,,,
29/07/2025,-878.15,13076202505PF - FNB OB PMT,CB252025000000775977,no,,,,
29/07/2025,-419.06,13077202505PF - FNB OB PMT,CB252025000000775978,no,,,,
31/07/2025,-817.71,Ludick's T/P - LEV/12664/136 - MAGTAPE CREDIT USER 9663 SEQ 104710,CB252025000000776048,no,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
