MIP Number,log tit,D - Call Direction,E - Call Method,F - Call Type,cat,na,Note,G - Created By,C - Created On
54765798,,Inbound,Emails,How to claim - Termination,Query,Done,None,Athena Prince,2026-06-22 00:00:00
54765798,,Outbound,Emails,Funds Less than R10 000,Query,Done,None,Athena Prince,2026-06-22 00:00:00
56935674,,Inbound,Emails,Overdue Payment - Termination Query,Query,Done,None,Athena Prince,2026-06-22 00:00:00
56935674,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-06-22 00:00:00
57767488,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-06-22 00:00:00
57767488,,Outbound,Emails,Acknowledgement Letter Sent,Query,Done,None,Chris-Nicolla Madlela,2026-06-22 00:00:00
57430356,,Inbound,Emails,Fund Value Confirmation,Query,Done,None,Athena Prince,2026-06-22 00:00:00
57430356,,Outbound,Emails,Feedback to Sanlam,Query,Done,None,Athena Prince,2026-06-22 00:00:00
54725945,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-06-22 00:00:00
54725945,,Outbound,Emails,Feedback to Sanlam,Query,Done,None,Athena Prince,2026-06-22 00:00:00
54691641,,Inbound,Emails,Overdue Payment - Termination Query,Query,Done,None,Chris-Nicolla Madlela,2026-06-22 00:00:00
54691641,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Chris-Nicolla Madlela,2026-06-22 00:00:00
57430356,,Inbound,Emails,Fund Value Confirmation,Query,Done,None,Athena Prince,2026-06-22 00:00:00
57430356,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-06-22 00:00:00
54731266,,Inbound,Phone,Overdue Payment - Termination Query,Query,Done,None,Chris-Nicolla Madlela,2026-06-22 00:00:00
54731266,,Outbound,Phone,Feedback to Beneficiary,Query,Done,None,Chris-Nicolla Madlela,2026-06-22 00:00:00
56935674,,Inbound,Emails,Fund Value Confirmation,Query,Done,None,Athena Prince,2026-06-22 00:00:00
56935674,,Outbound,Emails,Feedback to Sanlam,Query,Done,None,Athena Prince,2026-06-22 00:00:00
54742914,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Chris-Nicolla Madlela,2026-06-22 00:00:00
54742914,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-06-22 00:00:00
54742922,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Chris-Nicolla Madlela,2026-06-22 00:00:00
54742922,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-06-22 00:00:00
54674307,,Inbound,Emails,Overdue Payment - Termination Query,Query,Done,None,Athena Prince,2026-06-22 00:00:00
54674307,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-06-22 00:00:00
56647581,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-06-22 00:00:00
56647581,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-06-22 00:00:00
54679070,,Inbound,Emails,Overdue Payment - Termination Query,Query,Done,None,Chris-Nicolla Madlela,2026-06-22 00:00:00
54679070,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Chris-Nicolla Madlela,2026-06-22 00:00:00
55650681,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Vanessa Wilson,2026-06-22 00:00:00
55650681,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Vanessa Wilson,2026-06-22 00:00:00
57737047,,Inbound,Emails,Fund Rules,Query,Done,None,Chris-Nicolla Madlela,2026-06-22 00:00:00
57737047,,Outbound,Emails,Failed Bank Validation,Query,Done,None,Chris-Nicolla Madlela,2026-06-22 00:00:00
57861755,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-06-22 00:00:00
57861755,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-06-22 00:00:00
54708521,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Vanessa Wilson,2026-06-22 00:00:00
54708521,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Vanessa Wilson,2026-06-22 00:00:00
56311454,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-06-22 00:00:00
56311454,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-06-22 00:00:00
56642291,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-06-22 00:00:00
56642291,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Athena Prince,2026-06-22 00:00:00
55260285,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-06-22 00:00:00
55260285,,Outbound,Phone,Feedback to Beneficiary,Query,Done,None,Chris-Nicolla Madlela,2026-06-22 00:00:00
57430356,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-06-22 00:00:00
57430356,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-06-22 00:00:00
54672703,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Vanessa Wilson,2026-06-22 00:00:00
54672703,,Outbound,Emails,Feedback to Sanlam,Query,Done,None,Vanessa Wilson,2026-06-22 00:00:00
55204816,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Vanessa Wilson,2026-06-22 00:00:00
55204816,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Vanessa Wilson,2026-06-22 00:00:00
54649416,,Inbound,Phone,Overdue Payment - Termination Query,Query,Done,None,Athena Prince,2026-06-22 00:00:00
54649416,,Outbound,Emails,Feedback to Sanlam,Query,Done,None,Athena Prince,2026-06-22 00:00:00
54739334,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-06-22 00:00:00
56935674,,Inbound,Emails,Proof of Payment Received,Query,Done,None,Vanessa Wilson,2026-06-22 00:00:00
56935674,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Vanessa Wilson,2026-06-22 00:00:00
54637014,,Inbound,Emails,Overdue Payment - Termination Query,Query,Done,None,Athena Prince,2026-06-22 00:00:00
54637014,,Outbound,Emails,Feedback to Sanlam,Query,Done,None,Athena Prince,2026-06-22 00:00:00
54739334,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-06-22 00:00:00
54637014,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-06-22 00:00:00
54637014,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-06-22 00:00:00
58261376,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-06-22 00:00:00
58261376,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-06-22 00:00:00
56538214,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Vanessa Wilson,2026-06-22 00:00:00
56538214,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Vanessa Wilson,2026-06-22 00:00:00
54730780,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Chris-Nicolla Madlela,2026-06-22 00:00:00
54730780,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-06-22 00:00:00
54691641,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-06-22 00:00:00
54691641,,Outbound,Phone,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-06-22 00:00:00
54674980,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Chris-Nicolla Madlela,2026-06-22 00:00:00
54674980,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-06-22 00:00:00
54732246,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Vanessa Wilson,2026-06-22 00:00:00
54732246,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Vanessa Wilson,2026-06-22 00:00:00
54710432,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Vanessa Wilson,2026-06-22 00:00:00
54710432,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Vanessa Wilson,2026-06-22 00:00:00
57958680,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Athena Prince,2026-06-22 00:00:00
57958680,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Athena Prince,2026-06-22 00:00:00
54665632,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Vanessa Wilson,2026-06-22 00:00:00
54665632,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Vanessa Wilson,2026-06-22 00:00:00
57194282,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Vanessa Wilson,2026-06-22 00:00:00
57194282,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Vanessa Wilson,2026-06-22 00:00:00
56296495,,Inbound,Emails,Overdue Payment - Termination Query,Query,Done,None,Athena Prince,2026-06-22 00:00:00
56296495,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-06-22 00:00:00
58443383,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Vanessa Wilson,2026-06-22 00:00:00
58443383,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Vanessa Wilson,2026-06-22 00:00:00
56647670,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Chris-Nicolla Madlela,2026-06-22 00:00:00
56647670,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-06-22 00:00:00
57143843,,Inbound,Emails,Change in Guardianship,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
57143843,,Outbound,Emails,Feedback to Sanlam,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
56647670,,Inbound,Emails,Duplicate Claim Received,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
56647670,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
57960704,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-06-23 00:00:00
57960704,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-06-23 00:00:00
58442938,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-06-23 00:00:00
58442938,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-06-23 00:00:00
55732783,,Inbound,Emails,Duplicate Claim Received,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
55732783,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
54684198,,Inbound,Emails,Overdue Payment - Termination Query,Query,Done,None,Athena Prince,2026-06-23 00:00:00
54684198,,Outbound,Emails,Feedback to Sanlam,Query,Done,None,Athena Prince,2026-06-23 00:00:00
55731121,,Inbound,Emails,Overdue Payment - Termination Query,Query,Done,None,Athena Prince,2026-06-23 00:00:00
55731121,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-06-23 00:00:00
54764096,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
54764096,,Outbound,Emails,Tracing Claim Sent to Sanlam,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
57742806,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-06-23 00:00:00
57742806,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-06-23 00:00:00
56674310,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
56674310,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
57205054,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
57205054,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
56529661,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
56529661,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
57796445,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Vanessa Wilson,2026-06-23 00:00:00
57796445,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Vanessa Wilson,2026-06-23 00:00:00
55732783,,Inbound,Emails,Duplicate Claim Received,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
55732783,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
57981335,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
57981335,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
54736604,,Inbound,Emails,Acknowledgement Letter Received,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
54736604,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
57742806,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-06-23 00:00:00
57742806,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-06-23 00:00:00
54736604,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
54736604,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
54714491,,Inbound,Emails,How to claim - Termination,Query,Done,None,Athena Prince,2026-06-23 00:00:00
54714491,,Outbound,Emails,Feedback to Other,Query,Done,None,Athena Prince,2026-06-23 00:00:00
54665632,,Inbound,Phone,Overdue Payment - Termination Query,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
55669303,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Vanessa Wilson,2026-06-23 00:00:00
