ccdates_month,member_group_code,schedule_amount,bank_stmt_date,source_bank_line_id
2026-06-01,EMP556,2820.78,2026-07-14,353
2026-06-01,EMP194,0.26,2026-07-14,355
2026-06-01,FAR0423,3,2026-07-13,356
2026-06-01,1510514,1946,2026-07-10,357
2026-05-01,1510471,1018.24,2026-07-10,358
2026-06-01,FAR0397,104.58,2026-07-07,361
2026-06-01,1511218,341.16,2026-07-07,362
2026-06-01,1510767,24842.05,2026-07-07,363
2026-06-01,FAR0338,219.45,2026-07-07,366
2026-06-01,FAR0407,25,2026-07-07,368
2026-06-01,FAR0342,2.01,2026-07-06,373
2026-06-01,FAR0141,0.61,2026-07-06,375
2026-06-01,EMP261,2.4,2026-07-06,376
2026-06-01,FAR0186,260.32,2026-07-06,377
2026-06-01,EMP554,2.4,2026-07-06,381
2026-06-01,1511118,0.39,2026-07-03,383
2026-06-01,1510068,0.82,2026-07-03,384
2026-06-01,FAR0422,41.16,2026-07-03,385
2026-06-01,1510798,0.08,2026-07-02,387
2026-06-01,1510926,2538.83,2026-07-02,388
2026-06-01,FAR0166,0.06,2026-06-30,391
2026-06-01,FAR0337,42.23,2026-06-30,398
2026-06-01,1510810,0.1,2026-06-30,400
2026-06-01,AGR0261,780.52,2026-06-30,401
2026-06-01,AGR0263,780.32,2026-06-30,402
2026-06-01,1510383,1478.1,2026-06-30,403
2026-06-01,AGR0012,1,2026-06-26,405
2026-06-01,AGR0242,0.01,2026-06-25,406
2026-06-01,AGR0115,75.04,2026-06-12,408
2026-05-01,EMP466,0.06,2026-06-11,409
2026-05-01,EMP101,14.01,2026-06-10,410
2026-05-01,EMP261,2.4,2026-06-10,411
2026-05-01,EMP120,2.82,2026-06-10,412
2026-06-01,1510420,1687,2026-06-08,414
2026-05-01,FAR0006,5.7,2026-06-06,416
2026-05-01,EMP554,1.4,2026-06-05,423
2026-05-01,1510068,0.83,2026-06-03,425
2026-05-01,1511118,0.4,2026-06-03,426
2026-05-01,1510613,263.88,2026-06-03,427
2026-05-01,1510342,97.7,2026-06-01,430
2026-05-01,EMP194,0.26,2026-06-01,431
2026-05-01,EMP261,2.4,2026-05-29,436
2026-05-01,AGR0242,0.01,2026-05-28,437
2026-06-01,1510248,0.04,2026-05-25,559
2026-05-01,FAR0266.03,0.1,2026-05-22,560
2026-04-01,FAR0266.01,0.07,2026-05-22,561
2026-05-01,1510507,30,2026-05-21,562
2026-04-01,1510195,2.6,2026-05-07,566
2026-04-01,EMP554,136.12,2026-05-04,570
2026-05-01,EMP119,0.78,2026-05-02,572
2026-04-01,EMP194,0.26,2026-05-02,573
2026-04-01,1510068,0.84,2026-04-30,574
2026-04-01,1511118,0.37,2026-04-30,575
2026-05-01,EMP138.1,14.5,2026-04-30,577
2026-04-01,AGR0242,0.01,2026-04-24,580
2026-03-01,FAR0266.03,0.1,2026-04-21,582
2026-04-01,FAR0266.01,0.07,2026-04-21,583
2026-02-01,EMP101,303.17,2026-04-10,584
2026-03-01,EMP261,115.63,2026-04-10,585
2026-02-01,EMP120,155.02,2026-04-10,586
2026-01-01,1510195,2.6,2026-04-09,587
2026-03-01,1511218,510.14,2026-04-08,588
2026-04-01,1510248,0.18,2026-04-07,589
2026-04-01,AGR0033,20.5,2026-04-07,593
2026-03-01,EMP538,209.4,2026-04-03,596
2026-03-01,1510068,11.32,2026-04-02,597
2026-03-01,1511118,29.2,2026-04-02,598
2026-03-01,1510788,13.32,2026-04-02,599
2026-04-01,1510283,582.24,2026-04-02,600
2026-03-01,1510798,11.24,2026-04-02,601
2026-03-01,1511232,2794.94,2026-04-02,602
2026-03-01,EMP170,221.53,2026-04-02,603
2026-04-01,EMP119,68.72,2026-04-02,605
2026-03-01,EMP181,26.58,2026-04-02,606
2026-03-01,EMP194,4.94,2026-04-01,607
2026-04-01,EMP138.1,120,2026-04-01,608
2026-03-01,AGR0242,0.01,2026-03-26,611
2026-01-01,1510720,288,2026-03-25,613
2025-08-01,1510471,237.83,2026-03-23,614
2026-02-01,FAR0266.01,0.43,2026-03-18,615
2026-02-01,FAR0266.03,0.05,2026-03-17,616
2026-02-01,EMP466,20.11,2026-03-16,617
2026-02-01,1511128,22.14,2026-03-10,619
2026-02-01,1510441,14,2026-03-10,620
2026-02-01,EMP435,0.51,2026-03-02,625
2026-04-01,EMP385,144.76,2026-03-02,627
2026-03-01,EMP328,785.3,2026-02-28,628
2026-02-01,FAR0166,0.01,2026-02-27,629
2026-03-01,EMP138,106.3,2026-02-27,630
2023-11-01,FAR0379,550.42,2026-02-20,632
2026-01-01,FAR0266.03,0.05,2026-02-13,634
2026-01-01,FAR0342,0.01,2026-02-06,636
2026-02-01,1510735,70,2026-02-04,640
2026-01-01,1510906,842,2026-02-02,644
2026-01-01,EMP557,4.65,2026-01-28,646
2024-01-01,EMP157,163.84,2024-02-13,650
2024-01-01,FAR0242,0.03,2024-02-06,652
2024-01-01,FAR0093,0.05,2024-02-05,653
2023-11-01,1511236,793.57,2024-01-29,655
2023-10-01,EMP157,2.4,2023-11-08,660
2023-10-01,FAR0266.03,0.02,2023-11-07,661
2023-10-01,FAR0266.04,300.87,2023-11-07,662
2023-10-01,FAR0242,0.03,2023-11-07,663
2023-10-01,FAR0093,0.06,2023-11-01,664
2023-10-01,FAR0306,0.01,2023-10-26,665
2023-09-01,EMP231,9.6,2023-10-07,667
2023-09-01,EMP157,2.4,2023-10-06,669
2023-09-01,FAR0242,0.01,2023-10-06,670
2023-09-01,FAR0093,0.06,2023-10-05,671
2023-06-01,EMP293,2.6,2023-07-18,673
2023-06-01,FAR0224,0.01,2023-07-04,675
2023-06-01,FAR0093,0.06,2023-07-04,676
2023-05-01,EMP365,34.17,2023-06-22,677
2023-05-01,FAR0129,0.02,2023-06-07,680
2023-05-01,FAR0242,0.12,2023-06-07,681
2023-05-01,1510810,10,2023-06-06,683
2023-05-01,EMP293,2.6,2023-06-06,684
2023-05-01,FAR0093,0.06,2023-06-06,685
2023-05-01,AGR0195,0.01,2023-06-02,686
2023-04-01,FAR0024,38.24,2023-05-18,687
2023-04-01,FAR0139,0.02,2023-05-16,688
2023-04-01,1510420,16.06,2023-05-15,689
2023-04-01,EMP293,2.6,2023-05-10,690
2023-04-01,FAR0093,0.06,2023-05-06,693
2023-04-01,FAR0224,239.3,2023-05-05,694
2023-04-01,FAR0242,0.01,2023-05-05,695
2023-04-01,AGR0195,425.31,2023-05-03,696
2020-03-01,FAR0309,72.15,2021-05-31,773
2020-04-01,FAR0343,1191.29,2020-09-17,793
2020-01-01,FAR0210,7262.12,2020-03-05,895
